Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"A01",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",32.2,QX200 ddPCR EvaGreen Supermix,644,,,35.1,29.3,462,16654,,,,,,17116,,,,,,,,,,,,,,,,,,1,1,9124,19004,3322.5,3745.7,"",,,,33.7,30.7,,,,,,,,,,,,,
"A02",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",3.3,QX200 ddPCR EvaGreen Supermix,66,,,4.2,2.4,51,18432,,,,,,18483,,,,,,,,,,,,,,,,,,1,1,9124,18942,3016.2,3060.1,"",,,,3.73,2.82,,,,,,,,,,,,,
"A03",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",676,QX200 ddPCR EvaGreen Supermix,13520,,,692,660,7295,9399,,,,,,16694,,,,,,,,,,,,,,,,,,1,1,9124,18858,3054.6,9960.4,"",,,,684,668,,,,,,,,,,,,,
"A04",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",34.9,QX200 ddPCR EvaGreen Supermix,698,,,38,31.9,501,16626,,,,,,17127,,,,,,,,,,,,,,,,,,1,1,9124,19489,2676.2,3168.1,"",,,,36.5,33.4,,,,,,,,,,,,,
"A05",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",1545,QX200 ddPCR EvaGreen Supermix,30900,,,1574,1517,13087,4813,,,,,,17900,,,,,,,,,,,,,,,,,,1,1,9124,18069,2988.6,14014,"",,,,1560,1531,,,,,,,,,,,,,
"A06",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",798,QX200 ddPCR EvaGreen Supermix,15960,,,817,779,7233,7457,,,,,,14690,,,,,,,,,,,,,,,,,,1,1,9124,18649,2690.6,10548,"",,,,807,788,,,,,,,,,,,,,
"A07",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",144,QX200 ddPCR EvaGreen Supermix,2880,,,151,137,1808,13887,,,,,,15695,,,,,,,,,,,,,,,,,,1,1,9124,18705,2450.9,4323.3,"",,,,147.4,140.6,,,,,,,,,,,,,
"A08",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",0.68,QX200 ddPCR EvaGreen Supermix,13.6,,,1.23,0.32,9,15630,,,,,,15639,,,,,,,,,,,,,,,,,,1,1,9124,19652,2385.3,2395.2,"",,,,0.93,0.48,,,,,,,,,,,,,
"B01",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",37.9,QX200 ddPCR EvaGreen Supermix,758,,,41,34.8,566,17283,,,,,,17849,,,,,,,,,,,,,,,,,,1,1,9124,18911,3299.5,3794.6,"",,,,39.5,36.3,,,,,,,,,,,,,
"B02",Absolute Quantification,"ABS","",Ch1Unknown,"glnA","Manual",5.7,QX200 ddPCR EvaGreen Supermix,114,,,7,4.6,86,17688,,,,,,17774,,,,,,,,,,,,,,,,,,1,1,9124,18228,2992.8,3066.6,"",,,,6.3,5.1,,,,,,,,,,,,,
